candidate_id,rank,score,reasoning
CAND_0091534,6,0.9218,AI Engineer with 16.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0039754,39,0.8399,Senior Applied Scientist with 16.2 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 81%) and active on platform.
CAND_0068811,55,0.8181,Applied ML Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0041669,72,0.805,Recommendation Systems Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0061257,62,0.8105,Staff Machine Learning Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 87%) and active on platform.
CAND_0064326,24,0.873,Search Engineer with 7.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 94%) and active on platform.
CAND_0062247,66,0.8071,AI Engineer with 7.3 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0018499,64,0.8081,Senior Machine Learning Engineer with 7.2 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0087630,84,0.7955,AI Engineer with 7.2 years experience. Strong technical background matching key AI/ML skills. 
CAND_0012791,90,0.79,Mechanical Engineer with 7.2 years experience. Strong technical background matching key AI/ML skills. 
